user_name,date,text,clean_text,sentiment,sentiment_score
R.A. Smith,2021-02-21 15:46:04,"I survived my #COVIDVaccine. In other news, I signed up for $2000 worth of Microsoft Office training courses. I pla… https://t.co/KHa1gMIdr4",i survived my covidvaccine in other news i signed up for 2000 worth of microsoft office training courses i pla https t co kha1gmidr4,1 star,1
bilawal,2021-02-01 11:55:43,"The Burmese military seized power by arresting US-backed Aung San Suu Kyi
https://t.co/5WKPR26ZKW
#Myanmar… https://t.co/H5CXdKEmPN",the burmese military seized power by arresting us backed aung san suu kyi https t co 5wkpr26zkw myanmar https t co h5cxdkempn,1 star,1
DEPLORABLESus #MAGA,2021-08-08 13:47:11,#CDC Director: #COVID19  Vaccines DO NOT Prevent Transmission Of Virus https://t.co/otyweKvUfW #cdc #CovidVaccine? #RochelleWalensky,cdc director covid19 vaccines do not prevent transmission of virus https t co otywekvufw cdc covidvaccine rochellewalensky,1 star,1
Dead Pilled,2021-05-28 14:10:55,If the #CovidVaccine causes heart problems that means it’s working!,if the covidvaccine causes heart problems that means it s working,3 stars,3
Jackie,2021-03-04 18:15:28,"I feel so strongly about the #CovidVaccine 💉 

It is incredibly important to have the #COVID19Vaccine when we are o… https://t.co/IxTGVyP3Ls",i feel so strongly about the covidvaccine it is incredibly important to have the covid19vaccine when we are o https t co ixtgvyp3ls,5 stars,5
Dr. JenLovesOBG,2021-07-20 10:11:14,Hey @VinGuptaMD what can we do to get licensed physicians who are spewing #CovidVaccine disinformation sanctioned? It’s a big problem &amp; it makes ALL of us look bad. #MorningJoe,hey vinguptamd what can we do to get licensed physicians who are spewing covidvaccine disinformation sanctioned it s a big problem amp it makes all of us look bad morningjoe,1 star,1
Dan Barrett,2021-07-21 22:47:08,"Good stuff! Thank you! Totally true about EUA, Covid doesn't even rise to the level to seek EUA. 1976 Flu ""Panic"" never rose to level expected, but 25% vaccinated, w/new Vaccine, 53 deaths, Vaccine pulled from market.  #CovidVaccine #DeltaVariant #VACCINE #coronavirus #Fauci https://t.co/QxdH2Pgirf",good stuff thank you totally true about eua covid doesn t even rise to the level to seek eua 1976 flu panic never rose to level expected but 25 vaccinated w new vaccine 53 deaths vaccine pulled from market covidvaccine deltavariant vaccine coronavirus fauci https t co qxdh2pgirf,1 star,1
Thurrock CCG,2021-07-23 08:20:00,"To help as many people as possible receive their vaccination, there will be walk in vaccinations taking place in Stifford this weekend and at Thurrock Health Centre in Grays next weekend. 

For more information: https://t.co/BZsKyFsBPg

@thurrockcouncil #CovidVaccine #Thurrock https://t.co/tNyeoH3F7e",to help as many people as possible receive their vaccination there will be walk in vaccinations taking place in stifford this weekend and at thurrock health centre in grays next weekend for more information https t co bzskyfsbpg thurrockcouncil covidvaccine thurrock https t co tnyeoh3f7e,5 stars,5
Blondahontas75,2021-02-10 18:16:49,#COVID19 #covidvaccine #Ocugen #wallstreetbets I think it’s a good gamble at 10 bucks ... let’s help it along https://t.co/gUHA7ZA7Xs,covid19 covidvaccine ocugen wallstreetbets i think it s a good gamble at 10 bucks let s help it along https t co guha7za7xs,4 stars,4
Imanis,2022-02-21 19:51:55,"Boosters “can be done once, or maybe twice, but it’s not something that we can think should be repeated constantly,” Marco Cavaleri, EMA head of biological health threats &amp; vaccines strategy. #CovidIsNotOver #Booster #CovidVaccine",boosters can be done once or maybe twice but it s not something that we can think should be repeated constantly marco cavaleri ema head of biological health threats amp vaccines strategy covidisnotover booster covidvaccine,3 stars,3
Peter Malcolm,2021-03-21 01:59:40,#Biden's fall on Air Force One steps is his first meme as president https://t.co/m1052iALx9 via @nypost… https://t.co/yKtXRjoKtJ,biden s fall on air force one steps is his first meme as president https t co m1052ialx9 via nypost https t co yktxrjoktj,1 star,1
